"Time","Activity","HR","Cadence"
"0:00:01","walking",73,0
"0:00:03","walking",75,0
"0:00:05","walking",77,0
"0:00:07","walking",79,29
"0:00:09","walking",83,52
"0:00:11","walking",85,54
"0:00:13","walking",86,73
"0:00:15","walking",90,113
"0:00:17","walking",91,115
"0:00:19","walking",89,115
"0:00:21","walking",89,113
"0:00:23","walking",89,115
"0:00:25","walking",87,115
"0:00:27","walking",87,112
"0:00:29","walking",88,114
"0:00:31","walking",86,115
"0:00:33","walking",85,115
"0:00:35","walking",86,115
"0:00:37","walking",88,115
"0:00:39","walking",89,115
"0:00:41","walking",90,113
"0:00:43","walking",92,115
"0:00:45","walking",95,115
"0:00:47","walking",96,115
"0:00:49","walking",98,116
"0:00:51","walking",98,116
"0:00:53","walking",98,116
"0:00:55","walking",97,115
"0:00:57","walking",98,112
"0:00:59","walking",99,112
"0:01:01","walking",100,111
"0:01:03","walking",98,58
"0:01:05","walking",96,107
"0:01:07","walking",95,112
"0:01:09","walking",95,112
"0:01:11","walking",96,111
"0:01:13","walking",98,71
"0:01:15","walking",98,57
"0:01:17","walking",98,77
"0:01:19","walking",99,108
"0:01:21","walking",101,110
"0:01:23","walking",100,109
"0:01:25","walking",99,70
"0:01:27","walking",96,57
"0:01:29","walking",97,58
"0:01:31","walking",99,58
"0:01:33","walking",102,58
"0:01:35","walking",101,57
"0:01:37","walking",100,58
"0:01:39","walking",99,58
"0:01:41","walking",99,58
"0:01:43","walking",98,58
"0:01:45","walking",98,58
"0:01:47","walking",98,58
"0:01:49","walking",96,58
"0:01:51","walking",95,58
"0:01:53","walking",96,57
"0:01:55","walking",96,57
"0:01:57","walking",97,57
"0:01:59","walking",96,57
"0:02:01","walking",95,57
"0:02:03","walking",97,57
"0:02:05","walking",99,58
"0:02:07","walking",100,58
"0:02:09","walking",100,58
"0:02:11","walking",100,58
"0:02:13","walking",100,58
"0:02:15","walking",101,58
"0:02:17","walking",96,57
"0:02:19","walking",94,57
"0:02:21","walking",90,57
"0:02:23","walking",91,57
"0:02:25","walking",93,57
"0:02:27","walking",97,57
"0:02:29","walking",95,57
"0:02:31","walking",96,57
"0:02:33","walking",98,57
"0:02:35","walking",102,58
"0:02:37","walking",104,58
"0:02:39","walking",105,58
"0:02:41","walking",105,58
"0:02:43","walking",104,58
"0:02:45","walking",104,58
"0:02:47","walking",105,58
"0:02:49","walking",103,58
"0:02:51","walking",103,59
"0:02:53","walking",102,59
"0:02:55","walking",103,59
"0:02:57","walking",104,58
"0:02:59","walking",103,58
"0:03:01","walking",105,58
"0:03:03","walking",105,58
"0:03:05","walking",105,58
"0:03:07","walking",105,58
"0:03:09","walking",105,58
"0:03:11","walking",104,58
"0:03:13","walking",104,58
"0:03:15","walking",103,59
"0:03:17","walking",101,60
"0:03:19","walking",101,60
"0:03:21","walking",98,58
"0:03:23","walking",97,58
"0:03:25","walking",100,58
"0:03:27","walking",100,58
"0:03:29","walking",98,58
"0:03:31","walking",98,59
"0:03:33","walking",98,59
"0:03:35","walking",103,61
"0:03:37","walking",103,59
"0:03:39","walking",99,59
"0:03:41","walking",98,59
"0:03:43","walking",100,59
"0:03:45","walking",103,59
"0:03:47","walking",102,59
"0:03:49","walking",100,59
"0:03:51","walking",99,59
"0:03:53","walking",99,59
"0:03:55","walking",99,59
"0:03:57","walking",100,59
"0:03:59","walking",101,59
"0:04:01","walking",99,58
"0:04:03","walking",99,58
"0:04:05","walking",99,58
"0:04:07","walking",101,58
"0:04:09","walking",100,58
"0:04:11","walking",99,56
"0:04:13","walking",98,56
"0:04:15","walking",99,57
"0:04:17","walking",101,57
"0:04:19","walking",100,58
"0:04:21","walking",100,58
"0:04:23","walking",98,58
"0:04:25","walking",96,58
"0:04:27","walking",97,59
"0:04:29","walking",99,59
"0:04:31","walking",98,59
"0:04:33","walking",98,57
"0:04:35","walking",99,56
"0:04:37","walking",99,57
"0:04:39","walking",99,58
"0:04:41","walking",98,57
"0:04:43","walking",98,57
"0:04:45","walking",99,57
"0:04:47","walking",101,58
"0:04:49","walking",100,58
"0:04:51","walking",97,58
"0:04:53","walking",97,58
"0:04:55","walking",98,58
"0:04:57","walking",99,58
